0.475	2.133	3.673	0.911	2.421
0.525	2.168	3.868	1.011	2.852
0.575	2.118	3.776	1.026	3.042
0.625	2.084	3.757	1.067	3.328
0.675	2.064	3.757	1.101	3.572
0.725	2.027	3.632	1.086	3.641
0.775	1.97	3.515	1.08	3.752
0.825	1.955	3.46	1.079	3.84
0.875	1.968	3.474	1.108	4.056
0.925	1.926	3.357	1.082	4.042
0.975	1.916	3.352	1.106	4.238
1.075	1.873	3.159	1.059	4.215
1.125	1.837	3.071	1.036	4.19
1.375	1.807	2.789	0.951	4.064
1.675	1.745	2.575	0.891	4.012
1.725	1.733	2.527	0.872	3.942
1.775	1.721	2.468	0.845	3.816
1.825	1.709	2.413	0.829	3.789
1.975	1.697	2.315	0.777	3.519
2.025	1.698	2.28	0.762	3.456
2.125	1.696	2.244	0.744	3.383
2.175	1.684	2.211	0.731	3.324
2.225	1.687	2.201	0.728	3.324
2.325	1.683	2.148	0.7	3.179
2.375	1.669	2.104	0.685	3.121
2.525	1.639	2.034	0.653	2.956
2.575	1.644	2.032	0.656	2.99
2.725	1.652	1.99	0.63	2.865
2.775	1.62	1.961	0.623	2.819
3.025	1.624	1.873	0.581	2.607
3.325	1.632	1.816	0.545	2.397
3.475	1.622	1.792	0.531	2.314
